ote 0x0F, read back 0x0F OK
  CTRL3: wrote 0x41, read back 0x41 OK
  CTRL4: wrote 0x1E, read back 0x1E OK
  CTRL5: wrote 0x0F, read back 0x0F OK
  sample  385:    10455  (running sum:   4101623, n_ok: 385)
  sample  386:    10563  (running sum:   4112186, n_ok: 386)
  sample  387:    10651  (running sum:   4122837, n_ok: 387)
  sample  388:    10735  (running sum:   4133572, n_ok: 388)
  sample  389:    10660  (running sum:   4144232, n_ok: 389)
  sample  390:    10647  (running sum:   4154879, n_ok: 390)
  sample  391:    10478  (running sum:   4165357, n_ok: 391)
  sample  392:    10559  (running sum:   4175916, n_ok: 392)
  sample  393:    10530  (running sum:   4186446, n_ok: 393)
  sample  394:    10401  (running sum:   4196847, n_ok: 394)
  sample  395:     9865  (running sum:   4206712, n_ok: 395)
  sample  396:     9562  (running sum:   4216274, n_ok: 396)
  sample  397:     9679  (running sum:   4225953, n_ok: 397)
  sample  398:     9950  (running sum:   4235903, n_ok: 398)
  sample  399:    10273  (running sum:   4246176, n_ok: 399)
  sample  400:    10628  (running sum:   4256804, n_ok: 400)
  sample  401:    10915  (running sum:   4267719, n_ok: 401)
  sample  402:    10836  (running sum:   4278555, n_ok: 402)
  sample  403:    10920  (running sum:   4289475, n_ok: 403)
  sample  404:    10890  (running sum:   4300365, n_ok: 404)
  sample  405:    10971  (running sum:   4311336, n_ok: 405)
  sample  406:    11041  (running sum:   4322377, n_ok: 406)
  sample  407:    10979  (running sum:   4333356, n_ok: 407)
  sample  408:    10995  (running sum:   4344351, n_ok: 408)
  sample  409:    10982  (running sum:   4355333, n_ok: 409)
  sample  410:    11018  (running sum:   4366351, n_ok: 410)
  sample  411:    11242  (running sum:   4377593, n_ok: 411)
  sample  412:    11886  (running sum:   4389479, n_ok: 412)
  sample  413:    12081  (running sum:   4401560, n_ok: 413)
  sample  414:    11861  (running sum:   4413421, n_ok: 414)
  sample  415:    11784  (running sum:   4425205, n_ok: 415)
  sample  416:    11288  (running sum:   4436493, n_ok: 416)
  sample  417:    11206  (running sum:   4447699, n_ok: 417)
  sample  418:    10974  (running sum:   4458673, n_ok: 418)
  sample  419:    10808  (running sum:   4469481, n_ok: 419)
  sample  420:    10906  (running sum:   4480387, n_ok: 420)
  sample  421:    10842  (running sum:   4491229, n_ok: 421)
  sample  422:    10791  (running sum:   4502020, n_ok: 422)
  sample  423:    10749  (running sum:   4512769, n_ok: 423)
  sample  424:    10673  (running sum:   4523442, n_ok: 424)
  sample  425:    10699  (running sum:   4534141, n_ok: 425)
  sample  426:    10670  (running sum:   4544811, n_ok: 426)
  sample  427:    10742  (running sum:   4555553, n_ok: 427)
