:0 lp:13347
[1786047591.548733337] [FAULT] DRV8874 cleared (cmd was 33 at the time)
[1786047591.549954337] [FAULT] DRV8874 FAULT ACTIVE (over-current/over-te2660337] [FAULT] DRV8874 cleared (cmd was 35 at the time)
[1786047591.553650337] [FAULT] DRV8874 cleared (cmd was 36 at the time)
[1786047591.554650337] [FAULT] DRV8874 cleared (cmd was 36 at the time)
[1786047591.555698337] [FAULT] DRV8874 FAULT ACTIVE (over-current/over-temp/under-voltage) (cmd was 37 at the time)
[1786047591.557510337] [FAULT] DRV8874 cleared (cmd was 37 at the time)
[1786047591.558502337] [FAULT] DRV8874 cleared (cmd was 38 at the time)
[1786047591.559489337] [FAULT] DRV8874 cleared (cmd was 38 at the time)
[1786047591.560510337] [FAULT] DRV8874 cleared (cmd was 39 at the time)
[1786047591.561504337] [FAULT] DRV8874 cleared (cmd was 39 at the time)
[1786047591.562496337] [FAULT] DRV8874 cleared (cmd was 40 at the time)
[1786047591.563486337] [FAULT] DRV8874 cleared (cmd was 40 at the time)
[1786047591.564581337] [FAULT] DRV8874 cleared (cmd was 41 at the time)
[1786047591.565725337] [FAULT] DRV8874 cleared (cmd was 41 at the time)
[17t the time)
[1786047591.568699337] [FAULT] DRV8874 cleared (cmd was 43 at the time)
[1786047591.569761337] [FAULT] DRV8874 cleared (cmd was 43 at the time)
[1786047591.570800337] [FAULT] DRV8874 cleared (cmd was 44 at the time)
[1786047591.571800337] [FAULT] DRV8874 cleared (cmd was 44 at the time)
[1786047591.572795337] [FAULT] DRV8874 cleared (cmd was 45 at the time)
[1786047591.573792337] [FAULT] DRV8874 cleared (cmd was 45 at the time)
[1786047591.574804337] [FAULT] DRV8874 cleared (cmd was 46 at the time)
[1786047591.575936337] [FAULT] DRV8874 cleared (cmd was 46 at the time)
[1786047591.576936337] [FAULT] DRV8874 cleared (cmd was 47 at the time)
[1786047591.577931337] [91.579808337] [FAULT] DRV8874 cleared (cmd was 48 at the time)
[1786047591.580800337] [FAULT] DRV8874 cleared (cmd was 49 at the time)
[1786047591.581797337] [FAULT] DRV8874 cleared (cmd was 49 at the time)
[1786047591.582792337] [FAULT] DRV8874 cleared (cmd was 50 at the time)
[1786047591.583783337] [FAULT] DRV8874 cleared (cmd was 50 at the time)
[1786047591.584790337] [FAULT] DRV8874 cleared (cmd was 51 at the time)
[1786047591.585803337] [FAULT] DRV8874 cleared (cmd was 51 at the time)
[1786047591.586798337] [FAULT] DRV8874 cleared (cmd was 52 at the time)
[1786047591.587795337] [FAULT] DRV8874 cleared (cmd was 53 at the time)
[1786047591.588789337] [FAULT] DRV8874 cleared (cmd was 53 at the time)
[1786047591.592574337] t:212.77s enc:0.0 des:5528.3 err:5528.3 cur:64 cmd:55 | pub:0ms ret:0 lp:97
[1786047591.594416337] [FAULT] DRV8874 cleared (cmd was 56 at the time)
[1786047591.595519337] [FAULT] DRV8874 cleared (cmd was 57 at the time)
[1786047591.596504337] [FAULT] DRV8874 cleared (cmd was 58 at the time)
[1786047591.597500337] [FAULT] DRV8874 cleared (cmd was 58 at the time)
[1786047591.598484337] [FAULT] DRV8874 cleared (cmd was 59 at the time)
[1786047591.599478337] [FAULT] DRV8874 cleared (cmd was 59 at the time)
[1786047591.600455337] [FAULT] DRV8874 cleared (cmd was 60 at the time)
[1786047591.601449337] [FAULT] DRV8874 cleared (cmd was 60 at the time)
[1786047591.602433337] [FAULT] DRV8874 cleared (cmd was 61 at the time)
[1786047591.603428337] [FAULT] DRV8874 cleared (cmd was 62 at the time)
